inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta31,20,NA,1764,1764,1764,1764,1764,0,1801000,1801100,1801000,1801000,1802000,307.793505625546,1801000,1801100,1801000,1801000,1802000,307.793505625546,20,1801000,1801000,1801000,1801000,1802000,307.793505625546
ta32,19,180000,1808,1816.26315789474,1816,1816.5,1828,5.30033652247308,19000,91947.3684210526,107000,19000,171000,57374.475242539,180000,180000,180000,180000,180000,0,2,23000,23000,33000,33000,43000,14142.135623731
ta32,19,300000,1808,1814.63157894737,1815,1817,1823,4.00292290868379,23000,154789.473684211,146000,146000,294000,89453.016188741,300000,300000,300000,300000,300000,0,2,23000,23000,33000,33000,43000,14142.135623731
ta32,19,1800000,1799,1803.63157894737,1802,1802,1811,3.36997405719967,1184000,1498526.31578947,1522000,1522000,1758000,137731.368339102,1800000,1800000,1800000,1800000,1800000,0,2,1298000,1298000,1363500,1363500,1429000,92630.9883354377
ta32,19,1801000,1799,1803.63157894737,1802,1802,1811,3.36997405719967,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,2,1801000,1801000,1801000,1801000,1801000,0
ta33,20,180000,1799,1808.8,1808.5,1807,1814,3.42744342346488,46000,116000,118500,78000,180000,39031.7010161039,180000,180000,180000,180000,180000,0,1,166000,166000,166000,166000,166000,0
ta33,20,300000,1799,1808.25,1808,1807,1814,3.0928610498508,56000,153900,149500,164000,239000,55036.7341442346,300000,300000,300000,300000,300000,0,1,166000,166000,166000,166000,166000,0
ta33,20,1800000,1791,1795.1,1794,1799,1799,3.4928498393146,1170000,1451100,1483000,1634000,1778000,175120.680193914,1800000,1800000,1800000,1800000,1800000,0,6,1170000,1170000,1233000,1233000,1492000,116317.955048508
ta33,20,1801000,1791,1795.1,1794,1799,1799,3.4928498393146,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,6,1801000,1801000,1801000,1801000,1801000,0
ta34,20,180000,1832,1832.2,1832,1832,1834,0.523148363780597,19000,67350,54500,38000,122000,32238.0536829251,180000,180000,180000,180000,180000,0,17,19000,19000,56000,38000,122000,34172.2496634158
ta34,20,300000,1832,1832.05,1832,1832,1833,0.223606797749979,19000,83050,65500,38000,209000,52308.2714602375,300000,300000,300000,300000,300000,0,19,19000,19000,61000,38000,209000,53741.1491420784
ta34,20,1800000,1829,1830.45,1831,1829,1832,1.27630222456166,38000,1172100,1551500,1551500,1699000,663645.585503207,1800000,1800000,1800000,1800000,1800000,0,8,1538000,1538000,1617500,1617500,1699000,50686.0082130308
ta34,20,1801000,1829,1830.45,1831,1829,1832,1.27630222456166,1566000,1784150,1801000,1801000,1801000,56171.9868374189,1801000,1801000,1801000,1801000,1801000,0,8,1566000,1566000,1801000,1801000,1801000,85717.8719487866
ta34,20,NA,1829,1830.45,1831,1829,1832,1.27630222456166,1801000,1801100,1801000,1801000,1802000,307.793505625546,1801000,1801100,1801000,1801000,1802000,307.793505625546,8,1801000,1801000,1801000,1801000,1802000,462.910049886276
ta35,20,180000,2007,2007,2007,2007,2007,0,6000,6000,6000,6000,6000,0,180000,180000,180000,180000,180000,0,20,6000,6000,6000,6000,6000,0
ta35,20,300000,2007,2007,2007,2007,2007,0,6000,6000,6000,6000,6000,0,300000,300000,300000,300000,300000,0,20,6000,6000,6000,6000,6000,0
ta35,20,1800000,2007,2007,2007,2007,2007,0,6000,6000,6000,6000,6000,0,1800000,1800000,1800000,1800000,1800000,0,20,6000,6000,6000,6000,6000,0
ta35,20,1801000,2007,2007,2007,2007,2007,0,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,20,1801000,1801000,1801000,1801000,1801000,0
ta36,20,180000,1819,1820.8,1820.5,1819,1823,1.79472912484836,28000,98000,103000,110000,179000,44899.8886412873,180000,180000,180000,180000,180000,0,8,28000,28000,91500,91500,173000,52158.9260954304
ta36,20,300000,1819,1820.25,1819,1819,1823,1.55173926187427,28000,137400,127000,127000,296000,81917.4166944658,300000,300000,300000,300000,300000,0,11,28000,28000,110000,110000,296000,81337.9034980282
ta36,20,1800000,1819,1819,1819,1819,1819,0,28000,278000,245000,245000,898000,216460.765862765,1800000,1800000,1800000,1800000,1800000,0,20,28000,28000,245000,245000,898000,216460.765862765
ta36,20,1801000,1819,1819,1819,1819,1819,0,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,20,1801000,1801000,1801000,1801000,1801000,0
ta37,20,180000,1784,1788,1787,1787,1794,2.33959060746241,14000,96700,81500,81500,177000,50474.6940242544,180000,180000,180000,180000,180000,0,1,112000,112000,112000,112000,112000,0
ta37,20,300000,1784,1787.3,1787,1787,1791,1.75018795983084,14000,118150,88000,183000,260000,71862.6431025481,300000,300000,300000,300000,300000,0,2,112000,112000,147500,147500,183000,50204.5814642449
ta37,20,1800000,1779,1781.65,1782,1781.5,1784,2.15882521659107,112000,1292850,1344500,1261000,1777000,427486.814201081,1800000,1800000,1800000,1800000,1800000,0,7,1261000,1261000,1359000,1261000,1777000,176746.926961903
ta37,20,1801000,1779,1781.65,1782,1781.5,1784,2.15882521659107,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,7,1801000,1801000,1801000,1801000,1801000,0
ta38,20,180000,1674,1679.95,1679.5,1680,1691,4.47772263544762,35000,111750,117500,110000,174000,41800.1196170537,180000,180000,180000,180000,180000,0,2,115000,115000,140000,140000,165000,35355.3390593274
ta38,20,300000,1674,1677.85,1678,1679,1682,2.15882521659107,35000,170650,166000,208000,275000,71418.908744924,300000,300000,300000,300000,300000,0,2,115000,115000,140000,140000,165000,35355.3390593274
ta38,20,1800000,1673,1673,1673,1673,1673,0,645000,1174500,1199000,1199000,1498000,206869.524096712,1800000,1800000,1800000,1800000,1800000,0,20,645000,645000,1199000,1199000,1498000,206869.524096712
ta38,20,1801000,1673,1673,1673,1673,1673,0,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,20,1801000,1801000,1801000,1801000,1801000,0
